id,date,category,amount,vendor
1,6/13/2024,Utilities,$961.50,Simba Internet Ltd. (Internet Service Provider)
2,11/30/2023,Office supplies,$145.73,Faniki Cartridges & Toners
3,7/13/2023,Office supplies,$91.17,Lenana Office Solutions
4,3/3/2024,Travel,$490.92,Wilderness Wanderer Tours & Safaris
5,2/1/2024,Legal Fees,$394.88,Harambee Law Chambers
6,5/20/2024,Travel,$24.09,Wilderness Wanderer Tours & Safaris
7,10/11/2023,Office supplies,$48.67,Jambo Stationery Supplies Ltd
8,7/21/2023,Legal Fees,$16.30,Nyota Legal Consultants
9,2/28/2024,Legal Fees,$787.58,Nyota Legal Consultants
10,4/29/2024,Legal Fees,$446.57,Harambee Law Chambers
11,5/4/2024,Travel,$241.37,Safari Bookings Kenya
12,8/30/2023,Travel,$109.84,Wilderness Wanderer Tours & Safaris
13,1/17/2024,Utilities,$690.09,Maji Bora Water Company (Water)
14,6/30/2023,Utilities,$857.19,Maji Bora Water Company (Water)
15,5/1/2024,Utilities,$251.97,Simba Internet Ltd. (Internet Service Provider)
16,8/1/2023,Travel,$21.00,Fahari Corporate Travel
17,4/22/2024,Utilities,$343.50,Maji Bora Water Company (Water)
18,7/29/2023,Legal Fees,$390.91,Nyota Legal Consultants
19,11/6/2023,Office supplies,$478.79,Jambo Stationery Supplies Ltd
20,3/23/2024,Travel,$125.10,Safari Bookings Kenya
21,2/29/2024,Legal Fees,$560.80,Nyota Legal Consultants
22,11/10/2023,Office supplies,$664.75,Faniki Cartridges & Toners
23,7/16/2023,Office supplies,$481.21,Jambo Stationery Supplies Ltd
24,10/8/2023,Legal Fees,$289.86,Harambee Law Chambers
25,1/5/2024,Utilities,$178.09,Maji Bora Water Company (Water)
26,3/2/2024,Legal Fees,$7.34,Adler & Associates Advocates
27,6/24/2023,Travel,$529.45,Fahari Corporate Travel
28,2/25/2024,Utilities,$234.62,Kestrel Power (Electricity)
29,11/21/2023,Utilities,$989.10,Maji Bora Water Company (Water)
30,9/12/2023,Legal Fees,$913.70,Nyota Legal Consultants
31,1/2/2024,Utilities,$159.59,Maji Bora Water Company (Water)
32,6/8/2024,Office supplies,$90.93,Faniki Cartridges & Toners
33,11/25/2023,Travel,$369.31,Wilderness Wanderer Tours & Safaris
34,1/16/2024,Utilities,$679.22,Simba Internet Ltd. (Internet Service Provider)
35,8/5/2023,Office supplies,$189.52,Jambo Stationery Supplies Ltd
36,9/19/2023,Travel,$623.99,Wilderness Wanderer Tours & Safaris
37,8/1/2023,Utilities,$248.59,Simba Internet Ltd. (Internet Service Provider)
38,11/8/2023,Utilities,$146.11,Kestrel Power (Electricity)
39,2/20/2024,Legal Fees,$747.78,Adler & Associates Advocates
40,12/23/2023,Legal Fees,$10.09,Harambee Law Chambers
41,1/31/2024,Utilities,$534.04,Maji Bora Water Company (Water)
42,7/20/2023,Office supplies,$687.58,Jambo Stationery Supplies Ltd
43,1/18/2024,Legal Fees,$912.45,Harambee Law Chambers
44,6/21/2023,Travel,$126.93,Safari Bookings Kenya
45,12/18/2023,Travel,$596.41,Wilderness Wanderer Tours & Safaris
46,7/4/2023,Office supplies,$169.41,Faniki Cartridges & Toners
47,12/15/2023,Legal Fees,$660.51,Adler & Associates Advocates
48,12/4/2023,Travel,$860.01,Safari Bookings Kenya
49,6/19/2023,Office supplies,$982.69,Lenana Office Solutions
50,4/1/2024,Utilities,$242.08,Simba Internet Ltd. (Internet Service Provider)
51,4/12/2024,Legal Fees,$947.56,Harambee Law Chambers
52,6/20/2023,Utilities,$530.65,Simba Internet Ltd. (Internet Service Provider)
53,10/28/2023,Office supplies,$740.25,Lenana Office Solutions
54,4/9/2024,Legal Fees,$722.11,Adler & Associates Advocates
55,11/2/2023,Travel,$834.74,Safari Bookings Kenya
56,8/21/2023,Office supplies,$944.44,Jambo Stationery Supplies Ltd
57,12/30/2023,Travel,$520.81,Safari Bookings Kenya
58,9/30/2023,Travel,$931.48,Fahari Corporate Travel
59,9/23/2023,Legal Fees,$697.50,Harambee Law Chambers
60,6/5/2024,Utilities,$806.85,Kestrel Power (Electricity)
61,10/18/2023,Utilities,$299.86,Kestrel Power (Electricity)
62,4/30/2024,Office supplies,$926.98,Faniki Cartridges & Toners
63,6/16/2023,Office supplies,$770.02,Faniki Cartridges & Toners
64,12/17/2023,Utilities,$631.74,Maji Bora Water Company (Water)
65,9/24/2023,Utilities,$605.30,Maji Bora Water Company (Water)
66,5/29/2024,Office supplies,$703.04,Lenana Office Solutions
67,7/8/2023,Travel,$195.35,Fahari Corporate Travel
68,8/1/2023,Legal Fees,$217.96,Nyota Legal Consultants
69,11/10/2023,Legal Fees,$523.56,Harambee Law Chambers
70,10/11/2023,Utilities,$641.05,Maji Bora Water Company (Water)
71,1/2/2024,Legal Fees,$411.95,Harambee Law Chambers
72,3/25/2024,Utilities,$316.79,Kestrel Power (Electricity)
73,7/28/2023,Office supplies,$739.65,Faniki Cartridges & Toners
74,4/13/2024,Legal Fees,$721.74,Nyota Legal Consultants
75,6/20/2023,Utilities,$256.32,Maji Bora Water Company (Water)
76,7/23/2023,Legal Fees,$676.09,Adler & Associates Advocates
77,5/12/2024,Office supplies,$833.81,Lenana Office Solutions
78,1/2/2024,Travel,$260.59,Safari Bookings Kenya
79,9/11/2023,Legal Fees,$968.67,Harambee Law Chambers
80,6/22/2023,Office supplies,$667.94,Faniki Cartridges & Toners
81,8/26/2023,Travel,$508.52,Wilderness Wanderer Tours & Safaris
82,10/4/2023,Office supplies,$10.27,Lenana Office Solutions
83,10/3/2023,Legal Fees,$423.78,Adler & Associates Advocates
84,12/26/2023,Travel,$443.48,Fahari Corporate Travel
85,4/2/2024,Travel,$998.65,Safari Bookings Kenya
86,12/29/2023,Travel,$315.40,Safari Bookings Kenya
87,8/5/2023,Legal Fees,$154.21,Nyota Legal Consultants
88,4/4/2024,Travel,$667.62,Wilderness Wanderer Tours & Safaris
89,5/6/2024,Utilities,$968.77,Simba Internet Ltd. (Internet Service Provider)
90,10/5/2023,Legal Fees,$120.87,Adler & Associates Advocates
91,2/21/2024,Legal Fees,$520.73,Adler & Associates Advocates
92,6/24/2023,Legal Fees,$159.43,Adler & Associates Advocates
93,11/4/2023,Office supplies,$698.45,Faniki Cartridges & Toners
94,2/20/2024,Utilities,$938.83,Maji Bora Water Company (Water)
95,3/24/2024,Legal Fees,$5.25,Adler & Associates Advocates
96,10/24/2023,Travel,$211.81,Safari Bookings Kenya
97,10/30/2023,Office supplies,$6.71,Faniki Cartridges & Toners
98,7/19/2023,Legal Fees,$178.84,Nyota Legal Consultants
99,2/16/2024,Office supplies,$376.39,Faniki Cartridges & Toners
100,2/23/2024,Travel,$463.43,Safari Bookings Kenya
101,6/22/2023,Office supplies,$451.08,Lenana Office Solutions
102,6/28/2023,Legal Fees,$341.42,Harambee Law Chambers
103,11/8/2023,Office supplies,$616.58,Faniki Cartridges & Toners
104,6/11/2024,Office supplies,$36.59,Faniki Cartridges & Toners
105,9/23/2023,Travel,$942.11,Wilderness Wanderer Tours & Safaris
106,1/3/2024,Utilities,$723.21,Maji Bora Water Company (Water)
107,9/13/2023,Utilities,$376.77,Maji Bora Water Company (Water)
108,9/3/2023,Travel,$477.86,Fahari Corporate Travel
109,1/9/2024,Utilities,$192.81,Maji Bora Water Company (Water)
110,3/6/2024,Legal Fees,$117.97,Harambee Law Chambers
111,7/16/2023,Travel,$637.01,Fahari Corporate Travel
112,3/14/2024,Office supplies,$862.76,Jambo Stationery Supplies Ltd
113,1/26/2024,Utilities,$11.30,Simba Internet Ltd. (Internet Service Provider)
114,12/20/2023,Legal Fees,$134.09,Adler & Associates Advocates
115,9/29/2023,Office supplies,$545.81,Lenana Office Solutions
116,4/18/2024,Travel,$210.64,Wilderness Wanderer Tours & Safaris
117,1/1/2024,Utilities,$745.47,Kestrel Power (Electricity)
118,1/13/2024,Travel,$877.76,Safari Bookings Kenya
119,5/31/2024,Utilities,$676.41,Simba Internet Ltd. (Internet Service Provider)
120,10/31/2023,Travel,$592.65,Wilderness Wanderer Tours & Safaris
121,2/6/2024,Legal Fees,$377.87,Nyota Legal Consultants
122,9/10/2023,Legal Fees,$487.49,Nyota Legal Consultants
123,8/26/2023,Utilities,$436.16,Maji Bora Water Company (Water)
124,8/8/2023,Utilities,$756.34,Maji Bora Water Company (Water)
125,8/29/2023,Legal Fees,$345.49,Harambee Law Chambers
126,8/17/2023,Office supplies,$869.47,Faniki Cartridges & Toners
127,6/11/2024,Legal Fees,$352.16,Adler & Associates Advocates
128,9/19/2023,Travel,$12.71,Wilderness Wanderer Tours & Safaris
